Word,Male/MW,Female/MW,LogOdds
always,8237,11787,-5.582
grandson,51,211,-5.572
phone,2430,3808,-5.567
has,9202,13083,-5.555
carol,16,130,-5.548
daddy,85,278,-5.518
grandma,94,295,-5.507
preschool,22,143,-5.492
sewing,13,120,-5.476
having,3311,5028,-5.461
blah,364,757,-5.441
kept,632,1178,-5.439
'em,5379,7869,-5.413
dear,77,258,-5.411
freebies,5,96,-5.400
wish,1013,1746,-5.374
nephew,67,236,-5.357
sarah,22,138,-5.337
amy,28,152,-5.334
adults,185,452,-5.323
mary,97,293,-5.319
help,2444,3794,-5.314
dad,1172,1972,-5.289
nancy,46,190,-5.283
laurie,20,131,-5.268
sisters,294,632,-5.255
-cause,338,703,-5.244
cindy,22,135,-5.243
true,6662,9575,-5.218
talk,6644,9549,-5.210
stores,283,610,-5.186
melissa,13,111,-5.183
aunt,143,371,-5.170
watches,137,360,-5.164
taught,411,814,-5.152
bet,640,1168,-5.146
heather,9,98,-5.096
gone,1680,2684,-5.086
doesn't,5492,7960,-5.084
couponing,2,78,-5.082
excited,180,431,-5.068
away,3800,5640,-5.051
refund,13,107,-5.048
easter,145,369,-5.047
florida,1145,1907,-5.024
appropriate,200,461,-4.982
fine,1676,2666,-4.977
teachers,1155,1917,-4.976
get,33029,44408,-4.970
fabulous,31,147,-4.967
teach,964,1637,-4.966
shopper,29,142,-4.950
wedding,176,418,-4.938
bread,106,294,-4.932
girls,770,1347,-4.932
susan,37,159,-4.932
dance,126,330,-4.927
with,38925,52100,-4.916
younger,1065,1780,-4.913
flowers,75,235,-4.909
thirteen,369,732,-4.902
nursing,70,225,-4.900
birthday,258,553,-4.893
donna,19,117,-4.886
internet,1770,2789,-4.884
wouldn't,4716,6866,-4.883
found,1981,3087,-4.882
town,1461,2346,-4.856
news,2602,3953,-4.853
many,6008,8612,-4.839
nervous,190,437,-4.836
panic,290,602,-4.836
going,20014,27251,-4.835
ice,390,761,-4.835
exactly,9076,12729,-4.798
time,20178,27454,-4.798
sew,7,84,-4.789
ours,210,468,-4.782
sent,403,778,-4.780
everybody,4554,6626,-4.775
on,49318,65586,-4.761
hadn't,393,761,-4.758
clothes,252,535,-4.738
paper,732,1275,-4.738
aerobics,39,157,-4.736
she'd,203,454,-4.735
jessica,13,98,-4.733
angela,8,85,-4.727
yoga,65,209,-4.724
jennifer,62,203,-4.719
church,467,873,-4.714
dancing,87,250,-4.702
divorced,432,818,-4.699
ebay,77,231,-4.696
ew,34,145,-4.692
cathy,18,109,-4.691
one,31300,42019,-4.690
belong,102,277,-4.688
month,1365,2191,-4.685
finally,507,932,-4.680
well,49324,65549,-4.679
wasn't,3705,5449,-4.674
-em,104,280,-4.672
pam,27,129,-4.669
quit,658,1159,-4.665
judy,35,146,-4.655
store,829,1411,-4.645
craft,31,137,-4.642
groceries,33,141,-4.631
parent,382,736,-4.630
imagine,1431,2278,-4.615
learning,688,1200,-4.615
chocolate,82,237,-4.603
lady,446,833,-4.596
loved,397,757,-4.591
teaching,579,1035,-4.591
each,2594,3903,-4.566
virginia,412,777,-4.539
fourteen,300,601,-4.527
pray,64,200,-4.519
restaurants,783,1333,-4.518
tennessee,234,494,-4.510
gossiping,289,582,-4.500
mothers,76,222,-4.497
april,89,246,-4.496
dress,118,298,-4.495
crying,101,267,-4.476
care,2642,3957,-4.474
kim,51,173,-4.469
laura,32,134,-4.469
shocked,92,250,-4.456
ahah,521,938,-4.454
safe,435,806,-4.436
girl,1237,1978,-4.382
animals,500,901,-4.375
watched,1532,2396,-4.375
cartoons,47,162,-4.373
candy,101,263,-4.371
yet,2032,3097,-4.371
cookies,32,131,-4.366
needs,685,1176,-4.357
diane,16,95,-4.351
anybody,1808,2781,-4.346
knew,1576,2455,-4.346
neighbor,163,369,-4.345
vulgar,43,153,-4.342
enjoy,1508,2358,-4.336
angie,4,64,-4.333
no,31617,42276,-4.330
ages,81,225,-4.321
makes,2895,4283,-4.311
sharon,43,152,-4.309
luggage,59,183,-4.297
tiny,149,342,-4.266
computer,3707,5384,-4.247
pat,50,164,-4.247
duct,42,148,-4.243
silly,182,396,-4.241
afford,534,942,-4.224
reader,33,129,-4.223
grandmother,182,395,-4.219
neighbors,182,395,-4.219
hoping,277,548,-4.218
elementary,209,439,-4.215
teenage,49,161,-4.214
restaurant,1054,1699,-4.197
tina,11,79,-4.197
elizabeth,17,93,-4.184
foster,35,132,-4.183
teacher,1041,1679,-4.182
teenager,137,318,-4.178
kentucky,168,370,-4.177
patty,22,104,-4.172
grandchild,15,88,-4.171
site,290,566,-4.171
bake,29,119,-4.166
'cause,14278,19465,-4.162
rebecca,3,57,-4.157
laundry,37,135,-4.145
please,284,555,-4.141
jane,12,80,-4.138
niece,89,233,-4.138
adult,245,493,-4.135
decorating,10,75,-4.135
stephanie,28,116,-4.134
cancer,283,553,-4.133
sandra,15,87,-4.132
deborah,7,67,-4.120
small,1891,2870,-4.113
blessed,45,150,-4.110
sixteen,384,708,-4.109
helps,582,1005,-4.100
carolina,447,803,-4.097
kitchen,115,277,-4.093
rebate,5,61,-4.091
antique,13,81,-4.081
waitressing,2,52,-4.065
scrapbooking,0,46,-4.063
schools,2337,3480,-4.050
fiance,57,171,-4.040
childcare,9,70,-4.030
charter,27,111,-4.028
censored,116,276,-4.022
brother,1280,2004,-4.020
cheryl,10,72,-4.009
missouri,149,331,-4.003
cooking,432,774,-3.994
doll,9,69,-3.988
weight,551,951,-3.982
sick,1449,2238,-3.981
dawn,22,99,-3.980
shirley,12,76,-3.973
grandparents,197,408,-3.965
asthma,72,196,-3.953
purse,21,96,-3.948
walk,1573,2407,-3.936
remember,3846,5521,-3.922
tired,386,700,-3.920
right,65192,85715,-3.910
christine,9,67,-3.901
merchandising,18,88,-3.894
turned,671,1121,-3.893
avon,3,51,-3.892
crochet,1,45,-3.881
everyday,253,493,-3.880
huh-uh,10,69,-3.880
pamela,8,64,-3.879
hope,1273,1980,-3.875
january,109,258,-3.863
grandkids,70,189,-3.850
outside,2173,3229,-3.850
snow,691,1147,-3.850
homework,170,359,-3.846
robyn,3,50,-3.846
yard,305,572,-3.845
scares,87,219,-3.839
waited,116,269,-3.837
hardly,264,508,-3.836
lucky,590,998,-3.829
kansas,199,405,-3.828
nascar,60,170,-3.827
treadmill,85,215,-3.825
telling,910,1460,-3.817
gorgeous,69,186,-3.813
celebrate,224,444,-3.811
somebody,5488,7712,-3.810
rhonda,3,49,-3.799
rachel,20,90,-3.795
tape,254,490,-3.788
started,2776,4047,-3.786
welfare,146,317,-3.782
bought,645,1075,-3.781
strawberries,7,59,-3.768
tell,4452,6313,-3.765
touch,475,824,-3.764
bingo,19,87,-3.762
paula,12,71,-3.757
stitch,6,56,-3.749
denise,10,66,-3.748
censorship,461,802,-3.745
checked,199,401,-3.739
lila,5,53,-3.731
aw,59,165,-3.724
potter,98,234,-3.720
gifted,12,70,-3.713
embarrassed,46,140,-3.700
tomatoes,46,140,-3.700
dr,13,72,-3.698
disney,118,267,-3.694
disgusting,121,272,-3.693
gift,124,277,-3.692
r._m._c.,1,41,-3.692
upset,334,608,-3.689
beth,14,74,-3.685
caroline,5,52,-3.684
jokes,659,1088,-3.678
jen,7,57,-3.676
day,8413,11579,-3.670
mouse,71,185,-3.668
emily,10,64,-3.657
liz,8,59,-3.652
done,5005,7035,-3.648
sinus,39,125,-3.644
kathy,26,99,-3.643
maid,14,73,-3.641
pilates,14,73,-3.641
pregnancy,14,73,-3.641
okay,28270,37609,-3.631
exercising,301,554,-3.619
should've,99,232,-3.615
jenny,17,79,-3.609
pictures,302,555,-3.609
olympics,164,339,-3.602
freebie,14,72,-3.596
sheryl,1,39,-3.594
cat,1713,2564,-3.588
bachelorette,72,184,-3.581
sweetie,4,47,-3.571
cry,66,173,-3.570
several,572,954,-3.570
find,5267,7371,-3.567
frightening,70,180,-3.566
erica,6,52,-3.559
becky,8,57,-3.558
catherine,8,57,-3.558
hate,1000,1566,-3.558
harder,452,777,-3.556
com,339,608,-3.550
praying,19,82,-3.550
able,3247,4652,-3.541
alice,7,54,-3.533
shoppers,12,66,-3.532
adopted,88,210,-3.522
bless,57,155,-3.511
rebates,8,56,-3.510
renee,6,51,-3.510
i-i,3,43,-3.508
jeanette,2,40,-3.498
before,5640,7856,-3.497
thyroid,0,34,-3.493
lunch,257,480,-3.488
tammy,12,65,-3.485
amanda,10,60,-3.470
learned,528,883,-3.467
decorations,6,50,-3.460
louise,6,50,-3.460
puppy,119,260,-3.459
momma,20,82,-3.457
waitress,46,133,-3.449
night,2240,3270,-3.436
hers,41,123,-3.426
illinois,208,401,-3.422
marriage,611,1000,-3.415
moved,1544,2312,-3.415
recipe,38,117,-3.415
tried,1312,1990,-3.412
depressing,85,201,-3.405
neither,522,870,-3.401
walmart,73,180,-3.397
puppies,42,124,-3.393
first,8075,11067,-3.388
holly,5,46,-3.388
wyoming,17,74,-3.387
hospital,311,557,-3.385
recipes,40,120,-3.384
room,949,1479,-3.380
censor,170,339,-3.370
posted,50,138,-3.363
curves,8,53,-3.362
bye,123,263,-3.361
nicole,33,106,-3.361
censoring,43,125,-3.360
glued,30,100,-3.356
gloria,3,40,-3.353
leah,3,40,-3.353
shops,82,194,-3.347
fast,854,1342,-3.346
hysterical,39,117,-3.342
food,2753,3955,-3.340
barbie,5,45,-3.337
bedtime,0,31,-3.335
gretchen,1,34,-3.335
barb,7,50,-3.334
gail,7,50,-3.334
potty,18,75,-3.334
chat,154,312,-3.332
divorce,523,867,-3.332
choice,629,1020,-3.330
vegetable,35,109,-3.327
phonics,4,42,-3.316
bowling,104,230,-3.314
kitty,27,93,-3.312
babysit,11,59,-3.309
blonde,66,165,-3.306
else,5511,7648,-3.306
t._v.,4459,6244,-3.304
exercise,1288,1946,-3.302
baskets,2,36,-3.288
refunds,2,36,-3.288
meals,147,299,-3.286
toys,75,180,-3.285
ugh,82,192,-3.285
homemaker,5,44,-3.284
supportive,59,152,-3.284
diana,7,49,-3.283
hus-,7,49,-3.283
important,2234,3243,-3.283
monique,0,30,-3.281
hobby,807,1270,-3.277
hurt,853,1335,-3.276
heavens,10,56,-3.275
makeup,10,56,-3.275
marilyn,10,56,-3.275
melanie,10,56,-3.275
aware,470,786,-3.271
breast,24,86,-3.270
remarried,46,128,-3.264
barney,4,41,-3.263
yay,15,67,-3.263
vicky,8,51,-3.261
stepson,6,46,-3.256
precious,16,69,-3.255
alabama,165,326,-3.245
boyfriends,13,62,-3.234
christie,5,43,-3.231
danielle,5,43,-3.231
margaret,21,79,-3.231
peggy,1,32,-3.226
mart,14,64,-3.224
green,261,473,-3.217
visit,542,887,-3.216
bloom,4,40,-3.209
rude,84,193,-3.209
gardening,77,181,-3.206
disability,62,155,-3.204
innocent,184,354,-3.201
inappropriate,83,191,-3.199
clue,131,270,-3.198
ellen,12,59,-3.196
learn,1565,2318,-3.194
baking,21,78,-3.186
adore,2,34,-3.178
evelyn,5,42,-3.177
magazine,170,331,-3.174
jill,10,54,-3.173
kittens,62,154,-3.169
humor,1015,1553,-3.160
morning,1010,1546,-3.160
tonight,428,718,-3.159
janet,8,49,-3.157
marie,17,69,-3.154
wear,313,548,-3.153
friend,4527,6308,-3.147
wanting,308,540,-3.143
nap,28,91,-3.142
elaine,9,51,-3.138
hear,3818,5358,-3.131
asleep,103,222,-3.128
wait,1195,1800,-3.120
kelly,60,149,-3.117
beautiful,745,1170,-3.116
babysitter,30,94,-3.105
anita,4,38,-3.099
gina,4,38,-3.099
certificates,12,57,-3.095
flower,24,82,-3.093
kate,9,50,-3.085
minute,712,1121,-3.085
nurses,42,116,-3.085
bitty,14,61,-3.076
shop,309,538,-3.074
sexual,132,267,-3.073
bonnie,2,32,-3.064
quilt,2,32,-3.064
betty,16,65,-3.063
boxes,69,163,-3.062
should,8029,10933,-3.062
delete,8,47,-3.050
explain,190,357,-3.050
enough,3330,4691,-3.045
rural,151,296,-3.044
jo,4,37,-3.042
patricia,4,37,-3.042
joyce,6,42,-3.039
peas,13,58,-3.034
careful,299,521,-3.032
father,944,1443,-3.031
sat,181,342,-3.024
phyllis,3,34,-3.021
herself,127,257,-3.017
p._t._a.,7,44,-3.016
yum,7,44,-3.016
cynthia,5,39,-3.010
diaper,5,39,-3.010
spa,5,39,-3.010
horses,86,190,-3.008
lord,216,395,-3.008
oprah,36,103,-3.006
swear,100,213,-3.006
gifts,97,208,-3.003
scrap,11,53,-3.003
sandy,24,80,-3.002
nephews,73,168,-3.001
be,46021,60360,-2.995
gecko,0,25,-2.995
shelley,8,46,-2.995
lap,50,128,-2.992
watching,2644,3760,-2.983
favorite,1417,2093,-2.981
lovely,53,133,-2.981
sale,83,184,-2.975
decorate,15,61,-2.969
assistance,42,113,-2.966
soap,85,187,-2.965
haven't,4597,6370,-2.964
forum,51,129,-2.963
huston,3,33,-2.962
golly,25,81,-2.958
olive,41,111,-2.958
took,2102,3024,-2.954
christina,11,52,-2.950
wondered,111,229,-2.950
ready,678,1063,-2.947
quiet,210,383,-2.942
zoo,44,116,-2.942
erin,12,54,-2.940
p._g.,8,45,-2.940
needlepoint,1,27,-2.936
yuk,1,27,-2.936
sherry,9,47,-2.923
fries,50,126,-2.916
fulltime,35,99,-2.916
rabbit,92,197,-2.916
sites,160,305,-2.912
tornado,34,97,-2.910
blond,19,68,-2.906
annette,3,32,-2.902
carla,3,32,-2.902
grow,566,901,-2.902
babysitters,5,37,-2.894
crocheting,5,37,-2.894
toddler,5,37,-2.894
jackie,47,120,-2.889
elmo,2,29,-2.885
rabbits,42,111,-2.885
chit,8,44,-2.884
fisher,153,293,-2.883
scrabble,13,55,-2.878
lung,74,166,-2.876
dora,0,23,-2.873
eating,1060,1591,-2.873
special,628,987,-2.871
sue,64,149,-2.871
worry,878,1338,-2.871
terrified,40,107,-2.869
nickelodeon,6,39,-2.868
theresa,6,39,-2.868
addicting,16,61,-2.862
amazed,116,234,-2.862
shannon,16,61,-2.862
m._s._n.,22,73,-2.858
dressing,32,92,-2.854
medication,115,232,-2.850
lists,31,90,-2.848
presents,86,185,-2.847
grandparent,7,41,-2.846
katie,7,41,-2.846
week,2772,3914,-2.846
superbowl,68,155,-2.844
bothers,165,310,-2.842
cracker,3,31,-2.841
friends,6440,8789,-2.840
janice,5,36,-2.835
puzzles,12,52,-2.833
tips,153,291,-2.831
tickets,264,459,-2.828
sally,8,43,-2.827
knitting,13,54,-2.825
long,6394,8725,-2.824
cats,1288,1900,-2.816
diapers,9,45,-2.811
yuck,9,45,-2.811
bra,0,22,-2.810
mama,21,70,-2.808
bronchitis,18,64,-2.807
cheerleading,4,33,-2.805
forever,358,596,-2.804
sons,153,290,-2.804
schooling,132,257,-2.797
swim,161,302,-2.795
tapes,69,155,-2.785
wanted,2473,3504,-2.784
apart,326,548,-2.779
realize,723,1114,-2.774
olds,88,186,-2.773
adorable,13,53,-2.771
sitter,13,53,-2.771
helped,338,565,-2.769
lost,1085,1616,-2.763
lots,895,1353,-2.762
beep,87,184,-2.761
honeymoon,18,63,-2.756
cannot,420,683,-2.755
basics,63,144,-2.752
easier,915,1380,-2.752
lesley,6,37,-2.749
samantha,6,37,-2.749
autism,1,24,-2.747
gwen,1,24,-2.747
rebating,0,21,-2.745
subscribe,40,104,-2.744
through,5400,7396,-2.744
classes,669,1036,-2.743
tanya,4,32,-2.743
pick,1364,1997,-2.741
thrilled,28,82,-2.740
a._o._l.,68,152,-2.738
needed,547,863,-2.732
looked,762,1165,-2.726
salads,38,100,-2.726
roller,97,199,-2.723
discussed,46,114,-2.720
bath,37,98,-2.717
reimbursed,3,29,-2.716
humane,23,72,-2.715
door,652,1010,-2.713
jewellery,5,34,-2.713
brenda,22,70,-2.712
o._k.,41,105,-2.711
potato,56,131,-2.710
oregon,261,449,-2.709
picked,482,769,-2.706
mall,162,300,-2.703
stomach,110,219,-2.700
widow,9,43,-2.695
fibromyalgia,2,26,-2.694
typing,76,164,-2.694
yucky,2,26,-2.694
letting,176,321,-2.693
february,92,190,-2.692
carrie,6,36,-2.688
teresa,6,36,-2.688
plastic,130,250,-2.687
uncomfortable,141,267,-2.685
pitiful,4,31,-2.680
grandbaby,0,20,-2.679
kitten,63,142,-2.679
cents,333,553,-2.678
ex,195,349,-2.674
horseback,11,47,-2.674
cautious,98,199,-2.672
vacation,327,544,-2.672
click,133,254,-2.668
permission,31,86,-2.668
ginger,7,38,-2.667
fashion,68,150,-2.666
come,6601,8966,-2.665
single,853,1287,-2.664
flew,212,374,-2.662
tracey,14,53,-2.657
coat,35,93,-2.656
alcoholic,51,121,-2.653
grader,29,82,-2.653
truthfully,18,61,-2.652
sylvia,3,28,-2.651
behavioral,5,33,-2.650
he'd,413,667,-2.650
such,2047,2914,-2.650
emails,91,187,-2.647
gross,151,281,-2.646
heart,527,829,-2.642
covering,33,89,-2.639
housework,9,42,-2.636
choose,543,851,-2.632
earnhardt,2,25,-2.628
handle,386,627,-2.628
foreigners,25,74,-2.627
upsetting,31,85,-2.622
dot,473,751,-2.620
private,901,1350,-2.619
meredith,1,22,-2.614
caitlin,0,19,-2.611
glenda,0,19,-2.611
kwan,0,19,-2.611
arthritis,39,99,-2.606
sweepstakes,7,37,-2.606
wheelchair,29,81,-2.606
asked,716,1092,-2.605
vegetables,181,325,-2.603
'course,28,79,-2.599
tornadoes,28,79,-2.599
clues,16,56,-2.598
couples,109,214,-2.596
potatoes,92,187,-2.595
oughta,33,88,-2.593
kimberley,5,32,-2.586
childhood,70,151,-2.583
tree,146,271,-2.583
uh-oh,96,193,-2.583
weekend,574,891,-2.574
patients,30,82,-2.567
reads,39,98,-2.563
stressful,87,178,-2.563
cabbage,6,34,-2.562
crafty,6,34,-2.562
wellness,6,34,-2.562
yummy,2,24,-2.560
pennsylvania,869,1301,-2.559
macaroni,17,57,-2.544
suzie,1,21,-2.544
sweets,17,57,-2.544
certificate,27,76,-2.543
website,392,631,-2.543
beads,0,18,-2.542
quilts,0,18,-2.542
refunder,0,18,-2.542
shelly,0,18,-2.542
walking,884,1320,-2.537
slip,51,118,-2.534
noone,8,38,-2.527
sorority,8,38,-2.527
tania,8,38,-2.527
storm,122,232,-2.526
mile,158,287,-2.521
posts,5,31,-2.521
ordered,39,97,-2.519
bags,128,241,-2.518
deleted,3,26,-2.517
michele,3,26,-2.517
rochelle,3,26,-2.517
tuna,23,68,-2.516
pounds,318,523,-2.515
volition,9,40,-2.515
won't,1642,2352,-2.513
bakery,10,42,-2.506
wholesome,11,44,-2.498
tells,252,426,-2.496
jurors,12,46,-2.493
lauren,12,46,-2.493
cried,32,84,-2.492
scissors,18,58,-2.492
trust,729,1102,-2.492
leave,1420,2049,-2.491
alexis,2,23,-2.490
contests,17,56,-2.490
lyn,2,23,-2.490
pooh,2,23,-2.490
sufficient,101,198,-2.490
veggie,2,23,-2.490
veronica,2,23,-2.490
says,1530,2198,-2.489
infections,15,52,-2.488
sheila,14,50,-2.488
cousin,234,399,-2.484
consignment,4,28,-2.482
mindy,4,28,-2.482
vanessa,4,28,-2.482
class,1264,1836,-2.481
bonded,7,35,-2.479
alaska,59,130,-2.478
homes,185,326,-2.477
peterson,35,89,-2.476
a._d._h._d.,1,20,-2.473
crafting,1,20,-2.473
jeannie,1,20,-2.473
rosie,1,20,-2.473
secretarial,1,20,-2.473
osbournes,24,69,-2.472
claratyne,0,17,-2.470
ellie,0,17,-2.470
sonya,0,17,-2.470
stepchildren,0,17,-2.470
tulips,0,17,-2.470
june,164,294,-2.465
author,29,78,-2.463
exposed,201,349,-2.456
perfect,504,785,-2.456
newspaper,446,703,-2.455
paperwork,33,85,-2.455
ornaments,5,30,-2.454
osbourne,5,30,-2.454
screaming,84,170,-2.454
tightened,9,39,-2.453
eve,76,157,-2.449
skaters,3,25,-2.447
joanne,10,41,-2.444
blessing,36,90,-2.442
decided,659,1001,-2.440
spaghetti,50,114,-2.440
jewelry,18,57,-2.438
tiffany,11,43,-2.438
typed,18,57,-2.438
circles,26,72,-2.437
till,260,435,-2.437
custody,17,55,-2.435
patient,43,102,-2.435
secret,113,215,-2.435
pins,6,32,-2.431
suzanne,6,32,-2.431
warn,13,47,-2.431
crystal,25,70,-2.429
dianne,2,22,-2.419
kitties,2,22,-2.419
gets,2513,3511,-2.417
tea,127,236,-2.417
expensive,1036,1519,-2.415
carolyn,7,34,-2.414
clearance,4,27,-2.413
hm,3235,4472,-2.411
involved,1392,2003,-2.408
since,2951,4093,-2.402
deb,1,19,-2.400
joanna,1,19,-2.400
marissa,1,19,-2.400
yvonne,1,19,-2.400
elderly,75,154,-2.399
belly,32,82,-2.398
bunny,32,82,-2.398
greek,53,118,-2.398
christy,0,16,-2.396
megan,0,16,-2.396
nosey,0,16,-2.396
typist,0,16,-2.396
constantly,364,583,-2.395
lounge,20,60,-2.393
bathroom,154,276,-2.387
hearing,370,591,-2.384
dorothy,10,40,-2.382
sweetest,3,24,-2.376
celebration,38,92,-2.374
habit,334,539,-2.374
wanda,12,44,-2.374
whenever,640,970,-2.372
forums,24,67,-2.369
jean,24,67,-2.369
made,3187,4402,-2.368
bring,1069,1560,-2.367
clothing,92,180,-2.364
newborn,6,31,-2.364
wracking,6,31,-2.364
depend,207,354,-2.362
joy,56,122,-2.359
blue,220,373,-2.358
honor,50,112,-2.357
joan,28,74,-2.356
disabilities,22,63,-2.353
raised,683,1028,-2.348
costumes,21,61,-2.346
heidi,2,21,-2.345
hospice,2,21,-2.345
lorraine,2,21,-2.345
medic,2,21,-2.345
fussy,4,26,-2.342
pediatrician,4,26,-2.342
websites,83,165,-2.337
eleventh,781,1162,-2.328
cakes,18,55,-2.327
charleston,18,55,-2.327
helen,9,37,-2.325
polly,1,18,-2.325
rena,1,18,-2.325
simone,1,18,-2.325
stroller,9,37,-2.325
sign,554,847,-2.324
bridal,0,15,-2.320
taebo,0,15,-2.320
warmer,72,147,-2.320
dresses,10,39,-2.319
hurry,56,121,-2.319
encyclopedias,16,51,-2.318
truly,213,361,-2.317
feedback,37,89,-2.316
kidnapped,5,28,-2.315
ruth,15,49,-2.315
skates,11,41,-2.315
joined,93,180,-2.312
aunts,61,129,-2.311
forbid,66,137,-2.307
heaven,66,137,-2.307
magazines,117,217,-2.307
choices,156,276,-2.305
biddy,3,23,-2.302
decorated,3,23,-2.302
ex-husband,3,23,-2.302
flags,46,104,-2.302
expose,27,71,-2.295
skirt,6,30,-2.295
terri,6,30,-2.295
helpful,165,289,-2.292
allowed,725,1082,-2.289
gee,300,486,-2.289
rescue,45,102,-2.289
guidance,26,69,-2.285
extra,658,989,-2.284
knowing,407,638,-2.281
lois,7,32,-2.280
ach,30,76,-2.278
